post_id,text,num_likes
306,,1
305,☆Отправлено через http://vk.com/top_cards#3753982,0
301,,1
286,,1
285,,0
284,УРА!!!! МНЕ УЖЕ 1 ГОД!!!,3
283,,4
282,,0
281,,0
280,,0
279,,0
278,,0
277,,0
276,,0
275,,9
272,,0
270,,0
269,,0
268,,0
264,,0
263,,0
262,,0
261,Отправлено через ♥ http://vk.com/app1803950 ♥,0
260,,0
258,,0
257,,1
256,,0
254,,1
253,,0
252,,0
251,,0
250,,0
249,,0
248,,0
247,,0
246,☆Отправлено через https://vk.com/top_cards#4337417,0
245,,0
244,,0
243,☆Отправлено через https://vk.com/top_cards#4320036,3
242,,3
241,,0
239,,0
238,,2
237,,1
236,,2
235,,0
234,,0
232,,2
231,,0
230,,0
228,,1
224,☆Отправлено через https://vk.com/top_cards#4315412,0
223,,3
221,,1
220,,1
219,,1
218,,0
217,,1
216,,0
215,,0
214,,0
213,,0
212,,0
211,,2
210,☆Отправлено через https://vk.com/top_cards#4300442,1
209,,1
208,,1
207,,1
206,,1
205,,0
203,,0
202,,0
201,,1
200,,0
199,,1
198,,0
197,,1
196,,0
195,,0
194,,0
193,,1
192,,0
191,,0
190,,1
189,,2
188,,1
187,,0
186,,1
185,,0
184,,0
183,,1
180,☆Отправлено через https://vk.com/top_cards#4270054,0
179,,0
178,,1
176,,1
175,,0
173,,0
172,,0
169,☆Отправлено через https://vk.com/top_cards#1987109,0
167,,1
166,,4
165,,0
164,,0
163,,1
162,,0
161,,0
160,,14
158,,0
157,,0
156,,1
155,,0
154,,0
152,,0
151,,0
150,,0
148,,0
146,,0
145,,0
144,,0
143,,0
142,,0
141,,0
140,,0
139,,1
138,,1
137,,0
136,,1
135,,0
134,,0
133,,0
132,,0
130,,2
129,,2
128,,1
127,,0
126,,0
125,,0
124,,1
123,,2
122,,2
121,,0
120,,0
119,,0
118,,0
117,,0
116,,0
115,,0
114,,1
113,,0
112,,0
111,,0
110,,2
109,,2
108,,2
107,,2
106,,2
105,,0
104,,0
103,☆Отправлено через https://vk.com/top_cards#3296298,0
102,,1
101,,1
100,,1
99,,1
98,,1
97,,0
96,,1
95,,0
94,,0
93,,0
92,,0
91,,0
